Aldersgruppe;Uge 44_Ingen vaccination;Uge 44_Første vaccination;Uge 44_Anden vaccination;Uge 44_Fuld vaccineeffekt;Uge 43_Ingen vaccination;Uge 43_Første vaccination;Uge 43_Anden vaccination;Uge 43_Fuld vaccineeffekt;Uge 42_Ingen vaccination;Uge 42_Første vaccination;Uge 42_Anden vaccination;Uge 42_Fuld vaccineeffekt;Uge 41_Ingen vaccination;Uge 41_Første vaccination;Uge 41_Anden vaccination;Uge 41_Fuld vaccineeffekt;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt
12-15;642;46;141;139;510;19;85;84;374;20;56;54;228;8;32;30;222;10;17;17;162;13;16;12;171;14;8;6;148;12;4;3;183;29;16;6;330;75;25;9;493;126;37;3;590;155;30;1;483;173;17;1;444;102;6;0;344;68;0;0;317;33;0;0
16-19;233;17;344;343;249;11;289;287;157;6;138;136;86;11;82;81;75;4;70;70;76;4;28;28;57;7;33;33;61;3;14;12;111;5;38;34;131;24;53;51;221;33;71;61;291;41;99;77;336;73;122;72;341;138;130;41;289;271;146;27;228;304;95;11
20-29;901;57;1037;1033;885;51;830;828;629;36;509;502;374;25;301;300;306;19;190;190;231;17;138;137;209;15;90;84;209;17;109;104;312;44;157;152;405;55;192;168;602;86;199;156;796;165;291;185;1055;395;355;194;991;571;403;188;1008;1022;402;159;903;1078;260;140
30-39;820;65;1164;1154;673;50;862;857;590;37;657;654;308;14;338;335;284;31;247;240;217;27;191;185;183;23;164;160;173;28;131;124;285;53;174;156;375;69;228;186;496;146;261;188;607;187;263;148;589;270;206;105;561;323;115;89;457;353;109;98;394;286;61;61
40-49;492;37;1708;1704;413;28;1323;1319;307;20;1035;1034;211;17;546;546;157;15;390;389;132;14;274;273;109;8;210;210;90;6;159;158;128;24;219;216;202;39;346;333;303;53;454;415;287;86;335;289;287;128;344;232;283;176;238;151;212;185;193;84;124;204;128;55
50-59;225;20;1421;1418;207;9;1142;1141;130;13;834;834;73;5;403;402;64;3;308;304;83;3;211;209;53;4;156;155;49;4;128;126;75;12;184;179;95;6;278;276;136;20;292;288;129;20;281;273;131;32;232;223;129;37;201;190;86;35;167;152;53;37;120;77
60-64;64;1;569;569;47;2;466;466;31;4;346;346;25;0;175;175;17;4;107;107;14;5;72;72;12;2;50;50;11;2;66;66;21;3;80;80;16;0;97;97;23;2;94;93;25;7;95;94;27;3;88;87;16;4;62;60;18;7;65;63;8;5;28;25
65-69;19;2;479;479;26;3;404;404;13;1;286;286;9;2;152;152;11;0;108;107;8;2;74;74;8;2;50;50;4;1;39;39;9;1;50;50;10;0;73;73;15;2;78;77;9;3;96;96;8;0;59;57;5;1;63;63;8;5;34;33;3;0;44;44
70-79;24;2;854;853;24;2;769;769;22;2;639;639;5;0;276;275;5;1;176;176;6;3;119;119;7;2;128;128;6;1;83;83;4;2;116;116;8;1;115;115;12;2;148;148;12;0;109;108;4;0;101;100;5;1;70;69;2;0;60;60;4;0;38;38
80+;13;1;292;292;12;1;250;250;10;2;212;212;10;1;89;89;2;3;78;78;4;2;50;50;3;0;75;75;2;0;48;48;3;0;67;67;11;2;68;66;9;1;64;64;3;0;63;63;7;2;46;46;0;0;36;36;1;0;24;24;1;0;31;31
12+;3433;248;8009;7984;3046;176;6420;6405;2263;141;4712;4697;1329;83;2394;2385;1143;90;1691;1678;933;90;1173;1159;812;77;964;951;753;74;781;763;1131;173;1101;1056;1583;271;1475;1374;2310;471;1698;1493;2749;664;1662;1334;2927;1076;1570;1117;2775;1353;1324;887;2425;1946;1200;700;2035;1947;805;482
