Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld vaccineeffekt;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld vaccineeffekt;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld vaccineeffekt;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld vaccineeffekt;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld vaccineeffekt;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld vaccineeffekt;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld vaccineeffekt
Uge 44;1390825;68150;4412617;4396212;1274555;56311;4190258;4176557;7600;248;8009;7984;138843;6094;498297;496763;179493;7383;594881;592995;130;5;39;39;155;8;206;203
Uge 43;1399601;67825;4405062;4387221;1283561;56012;4185285;4170295;5200;176;6420;6405;98396;5075;409665;408331;117515;5902;467838;466283;108;2;39;39;114;3;180;180
Uge 42;1405278;69623;4397800;4376005;1289632;57474;4180283;4161760;3751;141;4712;4697;78528;4323;309841;308528;90960;4915;343728;342246;75;1;37;37;90;8;143;143
Uge 41;1410240;74469;4388271;4361120;1294992;61677;4173119;4149774;2502;83;2394;2385;81605;4712;217350;215474;96322;5427;244344;242222;37;1;14;14;73;3;84;83
Uge 40;1415682;80700;4376850;4338198;1301419;67213;4164640;4131140;2216;90;1691;1678;57528;3486;159949;158464;67672;4002;179121;177440;32;0;18;16;53;2;54;54
Uge 39;1421703;91657;4360757;4306031;1309301;76944;4152500;4104591;1716;90;1173;1159;50238;3346;149067;147286;59103;3835;165682;163656;25;0;9;8;38;4;42;42
Uge 38;1429449;110005;4334867;4261212;1319939;93567;4131734;4066294;1432;77;964;951;51125;4274;147455;145110;59501;4851;162037;159364;16;0;6;6;33;2;54;54
Uge 37;1439351;133549;4301827;4193144;1332671;115108;4104525;4005978;1294;74;781;763;54129;5894;160391;156595;62563;6747;176782;172489;17;0;11;10;38;5;44;43
Uge 36;1452425;168336;4254441;4061785;1348208;147608;4063716;3885774;1907;173;1101;1056;69718;9326;192344;183353;80710;10675;213632;203486;40;2;8;8;85;9;59;57
Uge 35;1472112;232682;4171772;3867580;1368939;208546;3989401;3704716;2664;272;1475;1374;94693;16416;213825;196077;112729;19245;242592;222135;56;5;16;13;125;13;48;45
Uge 34;1501914;340570;4034634;3541308;1398507;311896;3863086;3398495;3997;471;1698;1493;128538;30003;246620;209801;156421;35932;283215;239885;82;5;12;11;128;11;59;59
Uge 33;1539672;512651;3825146;3256203;1434849;477090;3666993;3130345;4460;665;1662;1334;119155;43188;210725;167601;146799;52771;246454;194541;101;2;11;9;150;13;58;55
Uge 32;1586378;803370;3488400;3015253;1480808;755351;3350347;2903420;4151;1076;1570;1117;98300;62226;168553;135019;117345;74054;193811;154163;102;3;14;11;119;29;37;34
Uge 31;1660221;1000292;3218008;2711439;1551838;943383;3095655;2615614;3619;1353;1324;887;101543;87695;155178;117225;117503;102848;175835;131612;85;7;6;3;72;14;36;34
Uge 30;1775595;1128534;2975843;2405951;1661725;1066156;2866728;2324285;3055;1946;1200;700;111570;111155;139199;94373;129535;131312;157694;105880;75;10;12;9;68;21;23;21
Uge 29;1951031;1270038;2659201;2156178;1828566;1201455;2566094;2085108;2489;1947;805;482;142617;142500;121356;79234;166866;168548;136345;88572;45;8;4;3;66;12;18;14
