Aldersgruppe;Uge 44_Ingen vaccination;Uge 44_Første vaccination;Uge 44_Anden vaccination;Uge 44_Fuld vaccineeffekt;Uge 43_Ingen vaccination;Uge 43_Første vaccination;Uge 43_Anden vaccination;Uge 43_Fuld vaccineeffekt;Uge 42_Ingen vaccination;Uge 42_Første vaccination;Uge 42_Anden vaccination;Uge 42_Fuld vaccineeffekt;Uge 41_Ingen vaccination;Uge 41_Første vaccination;Uge 41_Anden vaccination;Uge 41_Fuld vaccineeffekt;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt
12-15;981,4;509,9;78,6;79,3;758,6;212,9;48;48,6;544,8;222,1;32;31,8;327,2;78,9;18,5;18,1;312,6;86,3;10;10,7;223,1;89,3;9,7;8;228,6;70,9;5,1;4,4;190,9;44,1;2,7;2,7;225,1;75,4;12;7,6;380,1;126,5;23,3;20,4;514,2;149,8;49,9;25,7;550,9;141,9;77;35,5;390,4;141,5;163,2;135,5;287,1;101,7;253,2;0;181,3;101,3;0;0;137,6;120,9;0;0
16-19;736,4;447,6;161,1;161,1;778,7;284,2;135,5;135;487,1;151,2;64,8;64,1;264,5;261,5;38,6;38,3;228;88,5;33;33,3;227,9;78,6;13,2;13,4;168;118,7;15,7;15,9;175,9;43,4;6,7;5,9;310,6;60,5;18,4;17;352,5;241;26;26,3;568,9;257,8;35,6;33,6;710,6;233;51,6;47,6;781,2;258,7;67,9;55,1;752,4;285,3;82,6;52;600,2;339,6;117,5;92,7;436,2;231,7;137,5;133,2
20-29;593,3;357,4;193,2;193,6;574,8;321,7;155;155,6;404,5;221,1;95,3;94,7;238,3;145,5;56,5;56,9;193;103,2;35,8;36,3;144;82,8;26,1;26,5;128,4;62,5;17,2;16,5;126,1;60,1;21,1;20,9;184,1;126;30,8;32,5;231,9;114,1;38,8;40,5;331,8;110,9;43,1;48,8;419,2;125,9;72,1;79,8;527,7;174,6;117,4;116,9;465,4;192,7;182,3;178,9;422,9;304,3;255,6;210,7;316;310,5;262,4;197,7
30-39;631,3;465,7;226,3;225,9;509,5;360,3;168,1;168,4;441,3;257,8;128,5;129,1;227,9;90,2;66,4;66,6;207,7;181,8;48,8;48,3;156,6;136,6;38;37,8;129,8;93,2;33;33,5;120,2;90,7;26,8;27;193,4;129,4;36,6;37,3;246,3;113,1;50,5;53,4;310,8;146,7;64,2;84,5;358,5;113,2;79,4;112,2;324,6;95,4;101,8;101,9;279,6;94,5;91,5;98,1;190,9;107,6;107,5;113,4;130,1;103,4;67,9;71,8
40-49;664,4;595;277,2;277,1;551,2;456,5;214,8;214,7;406,8;316;168,1;168,4;277,4;253,4;88,8;89,1;204,8;207,4;63,5;63,6;170,4;174,1;44,7;44,8;139;85,5;34,3;34,6;113,2;54,9;26,1;26,2;158,1;182,6;36,1;36,3;243,7;232,7;57,5;57,2;354,8;233,4;76,4;75,6;324,9;244;57,9;58,3;313,2;184,4;63,6;56,5;296,3;143;49,3;53,7;209,9;89;49,1;51,2;113,3;60,9;49,5;50,5
50-59;434,2;515,7;201,6;201,4;395,8;233,4;162;162;247,1;327,8;118,3;118,5;137,9;120,8;57,2;57,1;120;68,3;43,7;43,2;154,5;63,9;30;29,8;97,7;77;22,2;22,1;89,3;69,5;18,2;18;134,9;185,3;26,2;25,6;168,2;80,3;39,7;39,7;236,1;226,6;41,8;41,7;219,3;180,2;40,4;39,9;218;198,9;33,7;33,2;209,9;169,9;29,5;29,5;135,9;104,2;25;27,1;80,5;55,9;19;18,2
60-64;388,3;89,2;179,4;179,5;282,9;178,1;146,9;147;185,6;347,2;109,1;109,2;149;0;55,2;55,2;100,7;304,9;33,8;33,8;82,3;357,4;22,7;22,7;70;128,6;15,8;15,8;63,5;118,3;20,8;20,9;119,7;168,4;25,3;25,3;89,9;0;30,7;30,8;126,9;87,5;29,8;29,6;135,8;242,7;30,2;30,1;144;75,7;28;27,9;83,9;84;19,8;19,4;92;120,7;20,9;20,8;39,6;59,6;9,1;8,6
65-69;158,9;282,1;160,7;160,8;215,9;428;135,5;135,6;107,3;143,1;96;96;73,9;267,4;51;51;89,9;0;36,2;35,9;64,9;235,3;24,8;24,9;64,3;213;16,8;16,8;31,9;95,2;13,1;13,1;71;89,8;16,8;16,8;78;0;24,5;24,6;115;148,9;26,2;26;68;184;32,3;32,4;59,5;0;19,9;19,3;36,6;38,4;21,3;21,4;57,5;159,5;11,5;11,3;21,1;0;14,9;15,2
70-79;148,7;221,7;156,4;156,3;147,6;225,5;140,8;140,9;134,6;219,1;117;117;30,4;0;50,5;50,3;30,2;96,5;32,2;32,2;36;274,2;21,8;21,8;41,6;165;23,4;23,4;35,3;77;15,2;15,2;23,3;144,4;21,2;21,2;46;67;21;21;67,9;125,9;27;27,1;67;0;19,9;19,8;22;0;18,5;18,3;27,2;35,1;12,8;12,7;10,7;0;11;11;20,9;0;7;7
80+;146,8;135;110,5;110,6;134,5;129,9;94,5;94,6;111,1;252,5;80,1;80,1;110,4;120,9;33,6;33,6;22;349,7;29,4;29,4;43,5;223,7;18,8;18,8;32,1;0;28,2;28,2;21,1;0;18;18;31,3;0;25,1;25,1;113,6;181,3;25,4;24,7;91,6;87,8;23,9;23,9;30,2;0;23,5;23,5;69,6;136;17,1;17,2;0;0;13,4;13,4;9,7;0;8,9;8,9;9,5;0;11,5;11,6
12+;615,1;440,5;191,1;191,2;537,9;314,3;153,4;153,6;395,4;245,4;112,7;112,9;230;134,6;57,4;57,5;195,7;133,9;40,6;40,6;157,8;117;28,2;28,2;135,1;82,3;23,3;23,4;122,9;64,3;19;19;180,3;117,2;27,1;27,2;244,3;130;37;37,1;341;151;44;43,9;385;139,2;45,3;42,6;385;142,5;46,9;38,5;333,6;143,4;42,8;33,9;257,3;182,5;41,9;30,1;183,3;162,1;31,4;23,1
