Aldersgruppe;Uge 44_Ingen vaccination;Uge 44_Første vaccination;Uge 44_Anden vaccination;Uge 44_Fuld vaccineeffekt;Uge 43_Ingen vaccination;Uge 43_Første vaccination;Uge 43_Anden vaccination;Uge 43_Fuld vaccineeffekt;Uge 42_Ingen vaccination;Uge 42_Første vaccination;Uge 42_Anden vaccination;Uge 42_Fuld vaccineeffekt;Uge 41_Ingen vaccination;Uge 41_Første vaccination;Uge 41_Anden vaccination;Uge 41_Fuld vaccineeffekt;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt
12-15;14;0;1;1;11;0;1;1;3;0;0;0;2;0;0;0;5;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;3;0;0;0;7;0;0;0;9;1;1;1;8;0;0;0;9;0;0;0;3;0;0;0;3;0;0;0;4;0;0;0
16-19;9;0;1;1;12;0;1;1;7;0;2;2;9;0;0;0;5;0;2;2;1;0;4;4;1;0;1;1;1;0;0;0;3;0;1;1;4;0;1;0;15;0;2;2;15;0;0;0;13;1;3;3;7;0;0;0;9;0;1;1;4;3;0;0
20-29;44;0;7;7;35;1;10;10;23;1;7;7;6;0;2;2;10;0;3;1;7;0;2;1;1;0;0;0;6;0;0;0;13;0;2;2;19;2;2;1;19;1;3;3;23;0;0;0;45;1;2;0;41;4;4;1;31;6;4;3;22;3;1;0
30-39;17;5;6;6;17;1;7;7;18;0;5;5;10;0;3;3;4;0;4;4;4;0;0;0;3;0;0;0;5;0;4;3;6;2;1;1;8;1;2;2;11;1;1;1;15;1;3;1;14;1;2;2;17;2;1;1;15;1;1;1;10;2;1;1
40-49;12;0;9;9;11;0;12;12;10;0;6;6;7;0;5;5;2;0;3;3;2;0;3;3;4;0;0;0;1;0;3;3;3;0;0;0;3;1;3;3;11;0;1;1;16;0;5;5;5;0;2;1;8;0;0;0;4;3;2;0;1;0;0;0
50-59;3;0;5;5;4;0;5;5;1;0;8;8;1;0;1;1;0;0;2;2;0;0;0;0;1;0;1;1;0;0;0;0;5;0;2;2;5;1;5;4;1;2;1;0;4;0;1;1;5;0;4;4;0;1;1;1;3;0;1;1;2;0;0;0
60-64;0;0;4;4;0;0;0;0;0;0;2;2;0;0;1;1;0;0;0;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1
65-69;0;0;1;1;0;0;1;1;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0
70-79;0;0;1;1;0;0;1;1;0;0;5;5;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;1;1;0;1;1;0;0;2;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80+;0;0;4;4;0;0;1;1;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;2;2;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1
12+;99;5;39;39;90;2;39;39;62;1;37;37;35;1;14;14;26;0;18;16;17;0;9;8;13;0;6;6;16;0;11;10;33;2;8;8;48;5;16;13;67;5;12;11;82;2;11;9;91;3;14;11;77;7;6;3;65;10;12;9;44;8;4;3
