Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   2.134 (48);   2.277 (52);   4.411
10-19;   6.230 (48);   6.735 (52);  12.965
20-29;   7.774 (50);   7.788 (50);  15.562
30-39;   5.533 (50);   5.492 (50);  11.025
40-49;   6.372 (52);   5.826 (48);  12.198
50-59;   5.997 (51);   5.823 (49);  11.820
60-69;   2.958 (47);   3.285 (53);   6.243
70-79;   1.852 (48);   2.001 (52);   3.853
80-89;   1.047 (56);     826 (44);   1.873
90+;     376 (71);     155 (29);     531
I alt;  40.273 (50);  40.208 (50);  80.481
